ID_MAQUINA,MAQUINA_TXT,MAQUINA_TIPO,total_horas,dias_activos,ultimo_reporte,total_reportes,promedio_horas_dia
m000125,C-25  RHDY49,CAMIONETA,0,2,2026-02-27,2,0.0
m000126,C-26  RTXW68,CAMIONETA,0,1,2026-02-10,1,0.0
m000127,C-27 RTXW59,CAMIONETA,0,1,2026-02-02,1,0.0
m000128,C-29 RWRH49,CAMIONETA,0,11,2026-02-23,12,0.0
m000135,C-45  SLCT29,CAMIONETA,0,5,2026-03-19,6,0.0
m000136,C-37 SLCT28,CAMIONETA,0,1,2026-02-16,1,0.0
m000137,C-38 SRPL59,CAMIONETA,0,4,2026-02-10,4,0.0
m000138,C-39 SRPL60,CAMIONETA,0,44,2026-02-16,45,0.0
m000140,C-42 SXVL55,CAMIONETA,0,1,2026-03-17,1,0.0
m000141,C-43 STWW21,CAMIONETA,0,2,2026-03-02,2,0.0
